,panel_name,image_name,lebel,time,LUX,TEMP (Celcius),power
0,d-1-3-1,d-1-3-1.jpg,1,1,1350,27,23.4639
1,d-1-3-2,d-1-3-2.jpg,1,1,1350,27,23.4639
2,d-1-3-3,d-1-3-3.jpg,1,1,1350,27,23.4639
3,d-1-3-4,d-1-3-4.jpg,1,1,1350,27,23.4639
4,d-1-4-1,d-1-4-1.jpg,1,1,1380,27.1,22.2275
5,d-1-4-2,d-1-4-2.jpg,1,1,1380,27.1,22.2275
6,d-1-4-3,d-1-4-3.jpg,1,1,1380,27.1,22.2275
7,d-1-4-4,d-1-4-4.jpg,1,1,1380,27.1,22.2275
8,d-1-5-1,d-1-5-1.jpg,1,1,1460,27.3,23.9468
9,d-1-5-2,d-1-5-2.jpg,1,1,1460,27.3,23.9468
10,d-1-5-3,d-1-5-3.jpg,1,1,1460,27.3,23.9468
11,d-1-5-4,d-1-5-4.jpg,1,1,1460,27.3,23.9468
12,d-1-6-1,d-1-6-1.jpg,1,1,1430,27.5,22.77
13,d-1-6-2,d-1-6-2.jpg,1,1,1430,27.5,22.77
14,d-1-6-3,d-1-6-3.jpg,1,1,1430,27.5,22.77
15,d-1-6-4,d-1-6-4.jpg,1,1,1430,27.5,22.77
16,d-1-7-1,d-1-7-1.jpg,1,1,1433,27.7,23.1736
17,d-1-7-2,d-1-7-2.jpg,1,1,1433,27.7,23.1736
18,d-1-7-3,d-1-7-3.jpg,1,1,1433,27.7,23.1736
19,d-1-7-4,d-1-7-4.jpg,1,1,1433,27.7,23.1736
20,d-1-9-1,d-1-9-1.jpg,1,1,1495,27.4,24.0921
21,d-1-9-2,d-1-9-2.jpg,1,1,1495,27.4,24.0921
22,d-1-9-3,d-1-9-3.jpg,1,1,1495,27.4,24.0921
23,d-1-9-4,d-1-9-4.jpg,1,1,1495,27.4,24.0921
24,d-1-11-1,d-1-11-1.jpg,1,1,1670,27.3,26.3856
25,d-1-11-2,d-1-11-2.jpg,1,1,1670,27.3,26.3856
26,d-1-11-3,d-1-11-3.jpg,1,1,1670,27.3,26.3856
27,d-1-11-4,d-1-11-4.jpg,1,1,1670,27.3,26.3856
28,d-1-12-1,d-1-12-1.jpg,1,1,1630,26.9,25.5298
29,d-1-12-2,d-1-12-2.jpg,1,1,1630,26.9,25.5298
30,d-1-12-3,d-1-12-3.jpg,1,1,1630,26.9,25.5298
31,d-1-12-4,d-1-12-4.jpg,1,1,1630,26.9,25.5298
32,d-1-16-1,d-1-16-1.jpg,1,1,2200,26.6,30.974
33,d-1-16-2,d-1-16-2.jpg,1,1,2200,26.6,30.974
34,d-1-16-3,d-1-16-3.jpg,1,1,2200,26.6,30.974
35,d-1-16-4,d-1-16-4.jpg,1,1,2200,26.6,30.974
36,d-1-20-1,d-1-20-1.jpg,1,1,2380,26.2,28.336
37,d-1-20-2,d-1-20-2.jpg,1,1,2380,26.2,28.336
38,d-1-20-3,d-1-20-3.jpg,1,1,2380,26.2,28.336
39,d-1-20-4,d-1-20-4.jpg,1,1,2380,26.2,28.336
40,d-1-21-1,d-1-21-1.jpg,1,1,2250,27.3,30.8864
41,d-1-21-2,d-1-21-2.jpg,1,1,2250,27.3,30.8864
42,d-1-21-3,d-1-21-3.jpg,1,1,2250,27.3,30.8864
43,d-1-21-4,d-1-21-4.jpg,1,1,2250,27.3,30.8864
44,d-1-26-1,d-1-26-1.jpg,1,1,2250,27.2,31.4864
45,d-1-26-2,d-1-26-2.jpg,1,1,2250,27.2,31.4864
46,d-1-26-3,d-1-26-3.jpg,1,1,2250,27.2,31.4864
47,d-1-26-4,d-1-26-4.jpg,1,1,2250,27.2,31.4864
48,d-1-27-1,d-1-27-1.jpg,1,1,2878,27.2,39.7999
49,d-1-27-2,d-1-27-2.jpg,1,1,2878,27.2,39.7999
50,d-1-27-3,d-1-27-3.jpg,1,1,2878,27.2,39.7999
51,d-1-27-4,d-1-27-4.jpg,1,1,2878,27.2,39.7999
52,d-1-28-1,d-1-28-1.jpg,1,1,2767,27,38.5168
53,d-1-28-2,d-1-28-2.jpg,1,1,2767,27,38.5168
54,d-1-28-3,d-1-28-3.jpg,1,1,2767,27,38.5168
55,d-1-28-4,d-1-28-4.jpg,1,1,2767,27,38.5168
56,d-1-29-1,d-1-29-1.jpg,1,1,2942,26,36.476
57,d-1-29-2,d-1-29-2.jpg,1,1,2942,26,36.476
58,d-1-29-3,d-1-29-3.jpg,1,1,2942,26,36.476
59,d-1-29-4,d-1-29-4.jpg,1,1,2942,26,36.476
60,d-1-30-1,d-1-30-1.jpg,1,1,3158,25.5,43.86
61,d-1-30-2,d-1-30-2.jpg,1,1,3158,25.5,43.86
62,d-1-30-3,d-1-30-3.jpg,1,1,3158,25.5,43.86
63,d-1-30-4,d-1-30-4.jpg,1,1,3158,25.5,43.86
64,d-1-31-1,d-1-31-1.jpg,1,1,3155,25.2,40.6245
65,d-1-31-2,d-1-31-2.jpg,1,1,3155,25.2,40.6245
66,d-1-31-3,d-1-31-3.jpg,1,1,3155,25.2,40.6245
67,d-1-31-4,d-1-31-4.jpg,1,1,3155,25.2,40.6245
68,d-1-32-1,d-1-32-1.jpg,1,1,3208,25.3,44.1968
69,d-1-32-2,d-1-32-2.jpg,1,1,3208,25.3,44.1968
70,d-1-32-3,d-1-32-3.jpg,1,1,3208,25.3,44.1968
71,d-1-32-4,d-1-32-4.jpg,1,1,3208,25.3,44.1968
72,d-1-33-1,d-1-33-1.jpg,1,1,3220,25.2,45.0488
73,d-1-33-2,d-1-33-2.jpg,1,1,3220,25.2,45.0488
74,d-1-33-3,d-1-33-3.jpg,1,1,3220,25.2,45.0488
75,d-1-33-4,d-1-33-4.jpg,1,1,3220,25.2,45.0488
76,d-1-34-1,d-1-34-1.jpg,1,1,2927,25.7,35.924
77,d-1-34-2,d-1-34-2.jpg,1,1,2927,25.7,35.924
78,d-1-34-3,d-1-34-3.jpg,1,1,2927,25.7,35.924
79,d-1-34-4,d-1-34-4.jpg,1,1,2927,25.7,35.924
80,d-1-35-1,d-1-35-1.jpg,1,1,2967,26.1,34.565
81,d-1-35-2,d-1-35-2.jpg,1,1,2967,26.1,34.565
82,d-1-35-3,d-1-35-3.jpg,1,1,2967,26.1,34.565
83,d-1-35-4,d-1-35-4.jpg,1,1,2967,26.1,34.565
84,d-2-3-1,d-2-3-1.jpg,1,2,3663,25.7,54.1355
85,d-2-3-2,d-2-3-2.jpg,1,2,3663,25.7,54.1355
86,d-2-3-3,d-2-3-3.jpg,1,2,3663,25.7,54.1355
87,d-2-3-4,d-2-3-4.jpg,1,2,3663,25.7,54.1355
88,d-2-4-1,d-2-4-1.jpg,1,2,3395,26.5,48.672
89,d-2-4-2,d-2-4-2.jpg,1,2,3395,26.5,48.672
90,d-2-4-3,d-2-4-3.jpg,1,2,3395,26.5,48.672
91,d-2-4-4,d-2-4-4.jpg,1,2,3395,26.5,48.672
92,d-2-5-1,d-2-5-1.jpg,1,2,3940,26.8,60.208
93,d-2-5-2,d-2-5-2.jpg,1,2,3940,26.8,60.208
94,d-2-5-3,d-2-5-3.jpg,1,2,3940,26.8,60.208
95,d-2-5-4,d-2-5-4.jpg,1,2,3940,26.8,60.208
96,d-2-6-1,d-2-6-1.jpg,1,2,3597,27,49.8225
97,d-2-6-2,d-2-6-2.jpg,1,2,3597,27,49.8225
98,d-2-6-3,d-2-6-3.jpg,1,2,3597,27,49.8225
99,d-2-6-4,d-2-6-4.jpg,1,2,3597,27,49.8225
100,d-2-7-1,d-2-7-1.jpg,1,2,3723,28.7,50.4108
